Date,Lat,Lon
2019-02-07 19:54:38+00:00,51.021561,16.890099
2019-02-07 19:54:42+00:00,51.021687,16.890171
2019-02-07 19:54:47+00:00,51.021851,16.890194
2019-02-07 19:54:52+00:00,51.02198,16.8902
2019-02-07 19:54:56+00:00,51.022087,16.890213
2019-02-07 19:55:02+00:00,51.022213,16.890285
2019-02-07 19:55:06+00:00,51.022312,16.89031
2019-02-07 19:55:10+00:00,51.022419,16.890348
2019-02-07 19:55:14+00:00,51.022514,16.890406
2019-02-07 19:55:18+00:00,51.022602,16.890491
2019-02-07 19:55:23+00:00,51.022705,16.890574
2019-02-07 19:55:27+00:00,51.022781,16.89065
2019-02-07 19:55:31+00:00,51.022873,16.890701
2019-02-07 19:55:35+00:00,51.022961,16.890745
2019-02-07 19:55:39+00:00,51.023075,16.890764
2019-02-07 19:55:43+00:00,51.023174,16.890779
2019-02-07 19:55:47+00:00,51.023277,16.890802
2019-02-07 19:55:52+00:00,51.023392,16.890835
2019-02-07 19:55:56+00:00,51.023506,16.890865
2019-02-07 19:56:00+00:00,51.023617,16.890909
2019-02-07 19:56:05+00:00,51.023754,16.890987
2019-02-07 19:56:09+00:00,51.023865,16.891066
2019-02-07 19:56:13+00:00,51.023968,16.891119
2019-02-07 19:56:17+00:00,51.024067,16.891176
2019-02-07 19:56:36+00:00,51.024189,16.891136
2019-02-07 19:56:39+00:00,51.024277,16.891005
2019-02-07 19:56:41+00:00,51.0243,16.890862
2019-02-07 19:56:43+00:00,51.024338,16.89068
2019-02-07 19:56:45+00:00,51.024368,16.890491
2019-02-07 19:56:47+00:00,51.024372,16.890268
2019-02-07 19:56:49+00:00,51.024475,16.890114
2019-02-07 19:56:51+00:00,51.024433,16.889894
2019-02-07 19:56:53+00:00,51.024521,16.889534
2019-02-07 19:56:54+00:00,51.02454,16.88936
2019-02-07 19:56:56+00:00,51.024601,16.889027
2019-02-07 19:56:58+00:00,51.024666,16.888725
2019-02-07 19:57:00+00:00,51.024731,16.888418
2019-02-07 19:57:02+00:00,51.024792,16.888062
2019-02-07 19:57:05+00:00,51.024891,16.887518
2019-02-07 19:57:08+00:00,51.02499,16.887003
2019-02-07 19:57:10+00:00,51.025055,16.886673
2019-02-07 19:57:11+00:00,51.025078,16.886507
2019-02-07 19:57:12+00:00,51.025112,16.886341
2019-02-07 19:57:13+00:00,51.025143,16.886168
2019-02-07 19:57:14+00:00,51.025169,16.886019
2019-02-07 19:57:17+00:00,51.025261,16.885527
2019-02-07 19:57:18+00:00,51.025295,16.885386
2019-02-07 19:57:22+00:00,51.02541,16.884747
2019-02-07 19:57:23+00:00,51.025436,16.884586
2019-02-07 19:57:26+00:00,51.02552,16.88414
2019-02-07 19:57:28+00:00,51.025578,16.883814
2019-02-07 19:57:30+00:00,51.025623,16.883533
2019-02-07 19:57:32+00:00,51.025669,16.883318
2019-02-07 19:57:34+00:00,51.0257,16.883114
2019-02-07 19:57:36+00:00,51.025723,16.882971
2019-02-07 19:57:40+00:00,51.025799,16.882872
